id,latitude,longitude,name,display_name,zone,total_lines,rail,borough,comments,borough code
37,51.6266,0.0471,Buckhurst Hill,Buckhurst Hill,5,1,0,Essex,Not London,
46,51.6679,-0.561,Chalfont & Latimer,Chalfont & Latimer,8,1,1,Buckinghamshire,Not London,
50,51.7052,-0.611,Chesham,NULL,9,1,0,Buckinghamshire,Not London,
51,51.6177,0.0755,Chigwell,NULL,4,1,0,Essex,Not London,
53,51.6543,-0.5183,Chorleywood,NULL,7,1,0,Hertfordshire,Not London,
62,51.647,-0.4412,Croxley,NULL,7,1,0,Hertfordshire,Not London,
68,51.6455,0.0838,Debden,NULL,6,1,0,Essex,Not London,
88,51.6937,0.1139,Epping,NULL,6,1,0,Essex,Not London,
158,51.6412,0.0558,Loughton,NULL,6,1,0,Essex,Not London,
168,51.6294,-0.432,Moor Park,Moor Park,6.5,1,0,Hertfordshire,Not London,
214,51.6404,-0.4733,Rickmansworth,NULL,7,1,0,Hertfordshire,Not London,
256,51.6717,0.1033,Theydon Bois,Theydon Bois,6,1,0,Essex,Not London,
280,51.6573,-0.4177,Watford,NULL,7,1,0,Hertfordshire,Not London,
6,51.6736,-0.607,Amersham,NULL,9,1,1,Buckinghamshire,Not London,
15,51.5396,0.081,Barking,NULL,4,2,1,Barking and Dagenham,,1
21,51.5403,0.127,Becontree,NULL,5,1,0,Barking and Dagenham,,1
66,51.5443,0.1655,Dagenham East,Dagenham East,5,1,0,Barking and Dagenham,,1
67,51.5417,0.1469,Dagenham Heathway,Dagenham Heathway,5,1,0,Barking and Dagenham,,1
269,51.5385,0.1014,Upney,NULL,4,1,0,Barking and Dagenham,,1
34,51.5766,-0.2136,Brent Cross,Brent Cross,3,1,0,Barnet,,2
38,51.6028,-0.2641,Burnt Oak,Burnt Oak,4,1,0,Barnet,,2
58,51.5955,-0.2502,Colindale,NULL,4,1,0,Barnet,,2
77,51.5874,-0.165,East Finchley,East Finchley,3,1,0,Barnet,,2
81,51.6137,-0.275,Edgware,NULL,5,1,0,Barnet,,2
93,51.6012,-0.1932,Finchley Central,Finchley Central,4,1,0,Barnet,,2
100,51.5724,-0.1941,Golders Green,Golders Green,3,1,0,Barnet,,2
119,51.5829,-0.2259,Hendon Central,Hendon Central,3.5,1,0,Barnet,,2
121,51.6503,-0.1943,High Barnet,High Barnet,5,1,0,Barnet,,2
165,51.6082,-0.2103,Mill Hill East,Mill Hill East,4,1,0,Barnet,,2
261,51.6302,-0.1791,Totteridge & Whetstone,Totteridge & Whetstone,4,1,0,Barnet,,2
288,51.6095,-0.1883,West Finchley,West Finchley,4,1,0,Barnet,,2
302,51.6179,-0.1856,Woodside Park,Woodside Park,4,1,0,Barnet,,2
5,51.5407,-0.2997,Alperton,NULL,4,1,0,Brent,,
71,51.552,-0.2387,Dollis Hill,Dollis Hill,3,1,0,Brent,,
113,51.5362,-0.2575,Harlesden,NULL,3,1,0,Brent,,
137,51.5304,-0.225,Kensal Green,Kensal Green,2,1,0,Brent,,
140,51.5816,-0.3162,Kenton,NULL,4,1,0,Brent,,
143,51.5351,-0.1939,Kilburn Park,Kilburn Park,2,1,0,Brent,,
144,51.5846,-0.2786,Kingsbury,NULL,4,1,0,Brent,,
172,51.5542,-0.2503,Neasden,NULL,3,1,0,Brent,,
178,51.5784,-0.3184,Northwick Park,Northwick Park,4,1,0,Brent,,
185,51.5621,-0.3034,North Wembley,North Wembley,4,1,0,Brent,,
202,51.572,-0.2954,Preston Road,Preston Road,4,1,0,Brent,,
206,51.5341,-0.2047,Queen's Park,Queens Park,2,1,1,Brent,,
207,51.5942,-0.2861,Queensbury,NULL,4,1,0,Brent,,
237,51.5701,-0.3081,South Kenton,South Kenton,4,1,0,Brent,,
246,51.5439,-0.2759,Stonebridge Park,Stonebridge Park,3,1,0,Brent,,
252,51.5507,-0.3156,Sudbury Town,Sudbury Town,4,1,0,Brent,,
281,51.5519,-0.2963,Wembley Central,Wembley Central,4,1,1,Brent,,
282,51.5635,-0.2795,Wembley Park,Wembley Park,4,2,0,Brent,,
297,51.5492,-0.2215,Willesden Green,Willesden Green,2.5,1,0,Brent,,
298,51.5326,-0.2478,Willesden Junction,Willesden Junction,2.5,1,1,Brent,,
22,51.5504,-0.1642,Belsize Park,Belsize Park,2,1,0,Camden,,
40,51.5392,-0.1426,Camden Town,Camden Town,2,1,0,Camden,,
47,51.5441,-0.1538,Chalk Farm,Chalk Farm,2,1,0,Camden,,
48,51.5185,-0.1111,Chancery Lane,Chancery Lane,1,1,0,Camden,,
89,51.5282,-0.1337,Euston,NULL,1,2,1,Camden,,
90,51.526,-0.1359,Euston Square,Euston Square,1,3,0,Camden,,
94,51.5472,-0.1803,Finchley Road,Finchley Road,2,2,0,Camden,,
102,51.5205,-0.1347,Goodge Street,Goodge Street,1,1,0,Camden,,
111,51.5568,-0.178,Hampstead,NULL,2.5,1,0,Camden,,
126,51.5174,-0.12,Holborn,NULL,1,2,0,Camden,,
139,51.5507,-0.1402,Kentish Town,Kentish Town,2,1,1,Camden,,
142,51.5471,-0.2047,Kilburn,NULL,2,1,0,Camden,,
145,51.5308,-0.1238,King's Cross St. Pancras,King's Cross St. Pancras,1,6,1,Camden,,
170,51.5342,-0.1387,Mornington Crescent,Mornington Crescent,2,1,0,Camden,,
223,51.523,-0.1244,Russell Square,Russell Square,1,1,0,Camden,,
254,51.5432,-0.1738,Swiss Cottage,Swiss Cottage,2,2,0,Camden,,
264,51.5567,-0.1374,Tufnell Park,Tufnell Park,2,1,0,Camden,,
277,51.5247,-0.1384,Warren Street,Warren Street,1,2,0,Camden,,
290,51.5469,-0.1906,West Hampstead,West Hampstead,2,1,1,Camden,,
2,51.5143,-0.0755,Aldgate,NULL,1,2,0,City of London,,
13,51.5133,-0.0886,Bank,NULL,1,4,0,City of London,,
14,51.5204,-0.0979,Barbican,NULL,1,3,0,City of London,,
25,51.512,-0.1031,Blackfriars,NULL,1,2,0,City of London,,
44,51.5113,-0.0904,Cannon Street,Cannon Street,1,2,0,City of London,,
156,51.5178,-0.0823,Liverpool Street,Liverpool Street,1,4,1,City of London,,
161,51.5122,-0.094,Mansion House,Mansion House,1,2,0,City of London,,
166,51.5108,-0.0863,Monument,NULL,1,2,0,City of London,,
167,51.5186,-0.0886,Moorgate,NULL,1,4,1,City of London,,
250,51.5146,-0.0973,St. Paul's,St. Paul's,1,1,0,City of London,,
1,51.5028,-0.2801,Acton Town,Acton Town,3,2,0,Ealing,,
30,51.4956,-0.325,Boston Manor,Boston Manor,4,1,0,Ealing,,
52,51.4946,-0.2678,Chiswick Park,Chiswick Park,3,1,0,Ealing,,
72,51.5152,-0.3017,Ealing Broadway,Ealing Broadway,3,2,1,Ealing,,
73,51.5101,-0.2882,Ealing Common,Ealing Common,3,2,0,Ealing,,
105,51.5423,-0.3456,Greenford,NULL,4,1,1,Ealing,,
112,51.5302,-0.2933,Hanger Lane,Hanger Lane,3,1,0,Ealing,,
176,51.4995,-0.3142,Northfields,NULL,3,1,0,Ealing,,
177,51.5483,-0.3687,Northolt,NULL,5,1,0,Ealing,,
181,51.5237,-0.2597,North Acton,North Acton,2.5,1,0,Ealing,,
182,51.5175,-0.2887,North Ealing,North Ealing,3,1,0,Ealing,,
194,51.527,-0.2841,Park Royal,Park Royal,3,1,0,Ealing,,
196,51.5366,-0.3232,Perivale,NULL,4,1,0,Ealing,,
234,51.5011,-0.3072,South Ealing,South Ealing,3,1,0,Ealing,,
286,51.518,-0.2809,West Acton,West Acton,3,1,0,Ealing,,
9,51.6164,-0.1331,Arnos Grove,Arnos Grove,4,1,0,Enfield,,
57,51.6517,-0.1496,Cockfosters,NULL,5,1,0,Enfield,,
187,51.6476,-0.1318,Oakwood,NULL,5,1,0,Enfield,,
232,51.6322,-0.128,Southgate,NULL,4,1,0,Enfield,,
160,51.5712,-0.0958,Manor House,Manor House,2.5,1,0,Hackney,,
17,51.4905,-0.2139,Barons Court,Barons Court,2,2,0,Hammersmith and Fulham,,
76,51.5168,-0.2474,East Acton,East Acton,2,1,0,Hammersmith and Fulham,,
96,51.4804,-0.195,Fulham Broadway,Fulham Broadway,2,1,0,Hammersmith and Fulham,,
101,51.5018,-0.2267,Goldhawk Road,Goldhawk Road,2,1,0,Hammersmith and Fulham,,
110,51.4936,-0.2251,Hammersmith,NULL,2,3,0,Hammersmith and Fulham,,
195,51.4753,-0.2011,Parsons Green,Parsons Green,2,1,0,Hammersmith and Fulham,,
205,51.4682,-0.2089,Putney Bridge,Putney Bridge,2,1,0,Hammersmith and Fulham,,
209,51.4942,-0.2359,Ravenscourt Park,Ravenscourt Park,2,1,0,Hammersmith and Fulham,,
226,51.5046,-0.2187,Shepherd's Bush (C),Shepherd's Bush,2,1,0,Hammersmith and Fulham,,
227,51.5058,-0.2265,Shepherd's Bush (H),Shepherd's Bush,2,1,0,Hammersmith and Fulham,,
293,51.4907,-0.2065,West Kensington,West Kensington,2,1,0,Hammersmith and Fulham,,
296,51.512,-0.2239,White City,White City,2,1,0,Hammersmith and Fulham,,
309,51.510031,-0.224301,Wood Lane,Wood Lane,2,2,0,Hammersmith and Fulham,,
31,51.6071,-0.1243,Bounds Green,Bounds Green,3.5,1,0,Haringey,,
124,51.5777,-0.1458,Highgate,NULL,3,1,0,Haringey,,
224,51.5822,-0.0749,Seven Sisters,Seven Sisters,3,1,1,Haringey,,
260,51.5882,-0.0594,Tottenham Hale,Tottenham Hale,3,1,1,Haringey,,
266,51.5904,-0.1028,Turnpike Lane,Turnpike Lane,3,1,0,Haringey,,
303,51.5975,-0.1097,Wood Green,Wood Green,3,1,0,Haringey,,
45,51.6078,-0.2947,Canons Park,Canons Park,5,1,0,Harrow,,
114,51.5925,-0.3351,Harrow & Wealdstone,Harrow & Wealdstone,5,1,1,Harrow,,
115,51.5793,-0.3366,Harrow-on-the-Hill,Harrow- on-the-Hill,5,1,1,Harrow,,
184,51.5846,-0.3626,North Harrow,North Harrow,5,1,0,Harrow,,
199,51.5926,-0.3805,Pinner,NULL,5,1,0,Harrow,,
210,51.5753,-0.3714,Rayners Lane,Rayners Lane,5,2,0,Harrow,,
235,51.5646,-0.3521,South Harrow,South Harrow,5,1,0,Harrow,,
243,51.6194,-0.3028,Stanmore,NULL,5,1,0,Harrow,,
251,51.5569,-0.3366,Sudbury Hill,Sudbury Hill,4,1,0,Harrow,,
291,51.5795,-0.3533,West Harrow,West Harrow,5,1,0,Harrow,,
85,51.5496,0.1977,Elm Park,Elm Park,6,1,0,Havering,,
129,51.5539,0.2184,Hornchurch,NULL,6,1,0,Havering,,
267,51.559,0.251,Upminster,NULL,6,1,1,Havering,,
268,51.5582,0.2343,Upminster Bridge,Upminster Bridge,6,1,0,Havering,,
116,51.4669,-0.4227,Hatton Cross,Hatton Cross,5.5,1,0,Hillingdon,,
117,51.4713,-0.4524,Heathrow Terminals 1 2 3,Heathrow Terminals 1 2 3,6,1,0,Hillingdon,,
118,51.4598,-0.4476,Heathrow Terminal 4,Heathrow Terminal 4,6,1,0,Hillingdon,,
134,51.5619,-0.4421,Ickenham,NULL,6,2,0,Hillingdon,,
179,51.6111,-0.424,Northwood,NULL,6,1,0,Hillingdon,,
180,51.6004,-0.4092,Northwood Hills,Northwood Hills,6,1,0,Hillingdon,,
220,51.5715,-0.4213,Ruislip,NULL,6,2,0,Hillingdon,,
221,51.5606,-0.4103,Ruislip Gardens,Ruislip Gardens,5,1,0,Hillingdon,,
222,51.5732,-0.4125,Ruislip Manor,Ruislip Manor,6,2,0,Hillingdon,,
239,51.5569,-0.3988,South Ruislip,South Ruislip,5,1,1,Hillingdon,,
271,51.5463,-0.4786,Uxbridge,NULL,6,2,0,Hillingdon,,
294,51.5696,-0.4376,West Ruislip,West Ruislip,6,1,1,Hillingdon,,
308,51.47006,-0.49108,Heathrow Terminal 5,Heathrow Terminal 5,6,1,1,Hillingdon,,
75,51.5765,-0.397,Eastcote,NULL,5,2,0,Hillingdon,,
125,51.5538,-0.4499,Hillingdon,NULL,6,2,0,Hillingdon,,
108,51.4915,-0.2754,Gunnersbury,NULL,3,1,0,Hounslow,,
130,51.4713,-0.3665,Hounslow Central,Hounslow Central,4,1,0,Hounslow,,
131,51.4733,-0.3564,Hounslow East,Hounslow East,4,1,0,Hounslow,,
132,51.4734,-0.3855,Hounslow West,Hounslow West,5,1,0,Hounslow,,
190,51.4813,-0.3522,Osterley,NULL,4,1,0,Hounslow,,
242,51.495,-0.2459,Stamford Brook,Stamford Brook,2,1,0,Hounslow,,
265,51.4951,-0.2547,Turnham Green,Turnham Green,2.5,2,0,Hounslow,,
