Line,LineColor,Name,PseudoID,Latitude,Longitude,Order
Арбатско-Покровская,0072BA,Щелковская,208,55.809962,37.798261,0
Арбатско-Покровская,0072BA,Первомайская,124,55.794376,37.799364,1
Арбатско-Покровская,0072BA,Измайловская,58,55.787713,37.779896,2
Арбатско-Покровская,0072BA,Партизанская,123,55.788401,37.74882,3
Арбатско-Покровская,0072BA,Семеновская,153,55.783096,37.719289,4
Арбатско-Покровская,0072BA,Электрозаводская,210,55.782057,37.7053,5
Арбатско-Покровская,0072BA,Бауманская,16,55.772405,37.67904,6
Арбатско-Покровская,0072BA,Площадь Революции,132,55.756741,37.62236,7
Арбатско-Покровская,0072BA,Курская,82,55.758564,37.659039,8
Арбатско-Покровская,0072BA,Арбатская,10,55.752312,37.60349,9
Арбатско-Покровская,0072BA,Смоленская,156,55.747713,37.583802,10
Арбатско-Покровская,0072BA,Киевская,63,55.743117,37.564132,11
Арбатско-Покровская,0072BA,Парк Победы,122,55.735679,37.516865,12
Арбатско-Покровская,0072BA,Славянский бульвар,155,55.729542,37.470973,13
Арбатско-Покровская,0072BA,Кунцевская,81,55.730634,37.445123,14
Арбатско-Покровская,0072BA,Молодежная,100,55.741375,37.415627,15
Арбатско-Покровская,0072BA,Крылатское,77,55.756842,37.408139,16
Арбатско-Покровская,0072BA,Строгино,164,55.803831,37.402405,17
Арбатско-Покровская,0072BA,Мякинино,101,55.823342,37.385214,18
Арбатско-Покровская,0072BA,Волоколамская,41,55.835154,37.382453,19
Арбатско-Покровская,0072BA,Митино,99,55.846098,37.36122,20
Арбатско-Покровская,0072BA,Пятницкое шоссе,142,55.853634,37.353108,21
Бутовская,BAC8E8,Бунинская аллея,31,55.537977,37.515899,0
Бутовская,BAC8E8,Улица Горчакова,186,55.542281,37.532063,1
Бутовская,BAC8E8,Бульвар Адмирала Ушакова,28,55.545207,37.542329,2
Бутовская,BAC8E8,Улица Скобелевская,189,55.548103,37.552721,3
Бутовская,BAC8E8,Улица Старокачаловская,190,55.569194,37.576074,4
Бутовская,BAC8E8,Лесопарковая,86,55.581656,37.577816,5
Бутовская,BAC8E8,Битцевский Парк,23,55.600066,37.556058,6
Замоскворецкая,4FB04F,Речной вокзал,143,55.854152,37.476728,0
Замоскворецкая,4FB04F,Водный стадион,37,55.838978,37.487515,1
Замоскворецкая,4FB04F,Войковская,38,55.818923,37.497791,2
Замоскворецкая,4FB04F,Сокол,157,55.805564,37.515245,3
Замоскворецкая,4FB04F,Аэропорт,11,55.800441,37.530477,4
Замоскворецкая,4FB04F,Динамо,47,55.789704,37.558212,5
Замоскворецкая,4FB04F,Белорусская,19,55.777439,37.582107,6
Замоскворецкая,4FB04F,Маяковская,95,55.769808,37.596192,7
Замоскворецкая,4FB04F,Тверская,169,55.765343,37.603918,8
Замоскворецкая,4FB04F,Театральная,170,55.758808,37.61768,9
Замоскворецкая,4FB04F,Новокузнецкая,108,55.742391,37.62928,10
Замоскворецкая,4FB04F,Павелецкая,119,55.729741,37.638693,11
Замоскворецкая,4FB04F,Автозаводская,2,55.706634,37.657008,12
Замоскворецкая,4FB04F,Технопарк,174,55.695,37.664167,13
Замоскворецкая,4FB04F,Коломенская,66,55.677423,37.663719,14
Замоскворецкая,4FB04F,Каширская,62,55.655745,37.649683,15
Замоскворецкая,4FB04F,Кантемировская,60,55.636107,37.656218,16
Замоскворецкая,4FB04F,Царицыно,197,55.620982,37.669612,17
Замоскворецкая,4FB04F,Орехово,116,55.61269,37.695214,18
Замоскворецкая,4FB04F,Домодедовская,50,55.610131,37.717111,19
Замоскворецкая,4FB04F,Красногвардейская,71,55.614075,37.742697,20
Замоскворецкая,4FB04F,Алма-Атинская,6,55.63349,37.765678,21
Калининская,FFCD1C,Новокосино,107,55.745113,37.864052,0
Калининская,FFCD1C,Новогиреево,106,55.752237,37.814587,1
Калининская,FFCD1C,Перово,125,55.75098,37.78422,2
Калининская,FFCD1C,Шоссе энтузиастов,207,55.75809,37.751703,3
Калининская,FFCD1C,Авиамоторная,1,55.751933,37.717444,4
Калининская,FFCD1C,Площадь Ильича,131,55.747115,37.680726,5
Калининская,FFCD1C,Марксистская,92,55.740746,37.65604,6
Калининская,FFCD1C,Третьяковская,176,55.741125,37.626142,7
Калининская,FFCD1C,Деловой центр,46,55.7491,37.5395,8
Калининская,FFCD1C,Парк Победы,122,55.736478,37.514401,9
Калужско-Рижская,F07E24,Медведково,96,55.888103,37.661562,0
Калужско-Рижская,F07E24,Бабушкинская,12,55.870641,37.664341,1
Калужско-Рижская,F07E24,Свиблово,151,55.855558,37.653379,2
Калужско-Рижская,F07E24,Ботанический сад,26,55.844597,37.637811,3
Калужско-Рижская,F07E24,ВДНХ,34,55.819626,37.640751,4
Калужско-Рижская,F07E24,Алексеевская,5,55.807794,37.638699,5
Калужско-Рижская,F07E24,Рижская,144,55.792494,37.636114,6
Калужско-Рижская,F07E24,Проспект Мира,139,55.781827,37.633199,7
Калужско-Рижская,F07E24,Сухаревская,166,55.772315,37.63285,8
Калужско-Рижская,F07E24,Тургеневская,180,55.765371,37.636732,9
Калужско-Рижская,F07E24,Китай-город,64,55.756498,37.631326,10
Калужско-Рижская,F07E24,Третьяковская,176,55.74073,37.625624,11
Калужско-Рижская,F07E24,Октябрьская,114,55.731232,37.612851,12
Калужско-Рижская,F07E24,Шаболовская,204,55.718828,37.607892,13
Калужско-Рижская,F07E24,Ленинский проспект,84,55.70678,37.58499,14
Калужско-Рижская,F07E24,Академическая,3,55.687147,37.5723,15
Калужско-Рижская,F07E24,Профсоюзная,140,55.677671,37.562595,16
Калужско-Рижская,F07E24,Новые Черемушки,112,55.670077,37.554493,17
Калужско-Рижская,F07E24,Калужская,59,55.656682,37.540075,18
Калужско-Рижская,F07E24,Беляево,20,55.642357,37.526115,19
Калужско-Рижская,F07E24,Коньково,68,55.631857,37.519156,20
Калужско-Рижская,F07E24,Теплый Стан,173,55.61873,37.505912,21
Калужско-Рижская,F07E24,Ясенево,213,55.606182,37.5334,22
Калужско-Рижская,F07E24,Новоясеневская,111,55.601947,37.553017,23
Каховская,88CDCF,Каширская,62,55.654327,37.647705,0
Каховская,88CDCF,Варшавская,33,55.653294,37.619522,1
Каховская,88CDCF,Каховская,61,55.652923,37.596573,2
Кольцевая,915133,Новослободская,109,55.779606,37.601252,0
Кольцевая,915133,Проспект Мира,139,55.779584,37.633646,1
Кольцевая,915133,Комсомольская,67,55.775672,37.654772,2
Кольцевая,915133,Курская,82,55.758631,37.661059,3
