IATA Airport 1,IATA Airport 2,Flow 1,Flow 2,Edge Flow,Comments
CJU,GMP,,,14107414,
CTS,HND,,,9698639,
SYD,MEL,,,9245392,
FUK,HND,,,8762547,
BOM,DEL,,,7392155,
HAN,SGN,,,6867114,
PEK,SHA,,,6518997,
HKG,TPE,,,6476268,
HND,OKA,,,5829712,
CGK,SUB,,,5649046,
CGK,DPS,,,5535108,
JED,RUH,,,5526110,
HND,ITM,,,5131757,
CTU,PEK,,,5092442,
CAN,PEK,,,5076229,
CUN,MEX,,,4885602,
PEK,SZX,,,4853038,
BNE,SYD,,,4815609,
CGK,SIN,,,4812342,
CAN,SHA,,,4724514,
SHA,SZX,,,4679294,
BLR,DEL,,,4542638,
CGK,UPG,,,4530428,
CGK,KNO,,,4512830,KNO not even on curated list
CPT,JNB,,,4508214,
KUL,SIN,,,4490463,
CGH,SDU,,,4234631,
HKG,PVG,,,4053909,
JFK,LAX,,,3971922,
BOG,MDE,,,3930332,
BLR,BOM,,,3814494,
LAX,SFO,,,3635655,
BKK,HKT,,,3612373,
BNE,MEL,,,3565266,
CEB,MNL,,,3519525,
HKG,BKK,,,3490988,
MEX,MTY,,,3474971,
CCU,DEL,,,3431999,
DAD,SGN,,,3256718,
CNX,DMK,,,3212124,
ICN,KIX,,,3210813,
CUZ,LIM,,,3201414,
LGA,ORD,,,3198700,that far down huh?
CGK,KUL,,,3170193,
MEX,GDL,,,3170177,
CJU,PUS,,,3106224,
ADB,ISL,,,3084250,
HKG,ICN,,,3081942,
CAN,CTU,,,3044038,
HKG,MNL,,,3008842,
