Time from Mar 1,Cases
0,1
1,0
2,2
3,5
4,3
5,8
6,7
7,21
8,58
9,70
10,154
11,357
12,620
13,644
14,1034
15,2123
16,2455
17,2980
18,3714
19,4013
20,2639
21,2581
22,3568
23,4504
24,4845
25,5025
26,5103
27,3464
28,3530
29,6119
30,5444
31,5445
32,5754
33,5667
34,3865
35,3784
36,6375
37,6056
38,5570
39,5056
40,4503
41,3722
42,2879
43,3304
44,4138
45,3871
46,3521
47,3577
48,2166
49,2343
50,3781
51,3059
52,3452
53,2842
54,2538
55,1595
56,1004
57,2285
58,2725
59,2342
60,2016
61,1880
62,1057
63,785
64,1547
65,1509
66,1401
67,1229
68,1085
69,661
70,461
71,1231
72,1284
73,1325
74,1110
75,871
76,489
77,360
78,900
79,1006
80,1066
81,1051
82,1034
83,458
84,475
85,454
86,1039
87,735
88,623
89,629
90,326
91,216
92,659
93,562
94,473
95,400
96,313
97,209
98,166
99,351
100,278
101,190
102,84
103,13
