Station Id,Station Name,Route,Stop Order,CIVIS Stop Order,Reverse Order,CIVIS Reverse
10000,MADRID-PRINCIPE PIO,C1,0,,,
18005,PIRAMIDES,C1,1,,,
18004,DELICIAS,C1,2,,,
18003,MENDEZ ALVARO,C1,3,,,
18000,MADRID-ATOCHA CERCANIAS,C1,4,,,
18001,MADRID-RECOLETOS,C1,5,,,
18002,MADRID-NUEVOS MINISTERIOS,C1,6,,,
17000,MADRID-CHAMARTIN,C1,7,,,
98003,FUENTE DE LA MORA,C1,8,,,
98304,VALDEBEBAS,C1,9,,,
98305,AEROPUERTO T-4,C1,10,,,
17000,MADRID-CHAMARTIN,C2,0,0,,
98003,FUENTE DE LA MORA,C2,,1,,
18002,MADRID-NUEVOS MINISTERIOS,C2,1,,,
18001,MADRID-RECOLETOS,C2,2,,,
18000,MADRID-ATOCHA CERCANIAS,C2,3,,,
70002,ASAMBLEA DE MADRID-ENTREVIAS,C2,4,,,
70003,EL POZO,C2,5,,,
70001,VALLECAS,C2,6,,,
70109,SANTA EUGENIA,C2,7,,,
70100,VICALVARO,C2,8,,,
70108,COSLADA,C2,9,,,
70101,SAN FERNANDO DE HENARES,C2,10,,,
70102,TORREJON DE ARDOZ,C2,11,2,,
70112,SOTO DEL HENARES,C2,12,,,
70111,LA GARENA,C2,13,,,
70103,ALCALA DE HENARES,C2,14,3,,
70107,ALCALA DE HENARES-UNIVERSIDAD,C2,15,4,,
70104,MECO,C2,16,,,
70105,AZUQUECA,C2,17,5,,
70200,GUADALAJARA,C2,18,6,,
10203,EL ESCORIAL,C3a,0,,,
10202,LAS ZORRERAS-NAVALQUEJIGO,C3a,1,,,
10201,SAN YAGO,C3a,2,,,
10200,VILLALBA DE GUADARRAMA,C3a,3,,,
10104,GALAPAGAR-LA NAVATA,C3a,4,,,
10103,TORRELODONES,C3a,5,,,
10101,LAS MATAS,C3a,6,,,
10100,PINAR DE LAS ROZAS,C3a,7,,,
97100,PITIS,C3a,8,,,
97200,Mirasierra,C3a,9,,,
97201,RAMON Y CAJAL,C3a,10,,,
17000,MADRID-CHAMARTIN,C3a,11,,,
