LINE,FROM_STATION,TO_STATION,DIRECTION
C1,AEROPUERTO T4,VALDEBEBAS,1
C1,VALDEBEBAS,FUENTE DE LA MORA,1
C1,FUENTE DE LA MORA,CHAMARTIN,1
C1,CHAMARTIN,NUEVOS MINISTERIOS,1
C1,NUEVOS MINISTERIOS,RECOLETOS,1
C1,RECOLETOS,ATOCHA,1
C1,ATOCHA,RECOLETOS,0
C1,RECOLETOS,NUEVOS MINISTERIOS,0
C1,NUEVOS MINISTERIOS,CHAMARTIN,0
C1,CHAMARTIN,FUENTE DE LA MORA,0
C1,FUENTE DE LA MORA,VALDEBEBAS,0
C1,VALDEBEBAS,AEROPUERTO T4,0
C1,PRINCIPE PIO,PIRAMIDES,0
C1,PIRAMIDES,DELICIAS,0
C1,DELICIAS,MENDEZ ALVARO,0
C1,MENDEZ ALVARO,ATOCHA,0
C1,NUEVOS MINISTERIOS,FUENTE DE LA MORA,0
C1,ATOCHA,MENDEZ ALVARO,1
C1,MENDEZ ALVARO,DELICIAS,1
C1,DELICIAS,PIRAMIDES,1
C1,PIRAMIDES,PRINCIPE PIO,1
C1,ATOCHA,DELICIAS,1
C1,FUENTE DE LA MORA,NUEVOS MINISTERIOS,1
C1,AEROPUERTO T4,FUENTE DE LA MORA,1
C1,DELICIAS,PRINCIPE PIO,1
C1,NUEVOS MINISTERIOS,ATOCHA,1
C1,RECOLETOS,MENDEZ ALVARO,1
C1,VALDEBEBAS,CHAMARTIN,1
C1,CHAMARTIN,RECOLETOS,1
C2,GUADALAJARA,AZUQUECA,0
C2,AZUQUECA,MECO,0
C2,MECO,ALCALÁ DE HENARES UNIVERSIDAD,0
C2,ALCALÁ DE HENARES UNIVERSIDAD,ALCALÁ DE HENARES,0
C2,ALCALÁ DE HENARES,GARENA LA,0
C2,GARENA LA,SOTO DEL HENARES,0
C2,SOTO DEL HENARES,TORREJON DE ARDOZ,0
C2,TORREJON DE ARDOZ,SAN FERNANDO,0
C2,SAN FERNANDO,COSLADA,0
C2,COSLADA,VICALVARO,0
C2,VICALVARO,SANTA EUGENIA,0
C2,SANTA EUGENIA,VALLECAS,0
C2,VALLECAS,POZO EL,0
C2,POZO EL,ASAMBLEA DE MADRID-ENTREVIAS,0
C2,ASAMBLEA DE MADRID-ENTREVIAS,ATOCHA,0
C2,ATOCHA,RECOLETOS,0
C2,RECOLETOS,NUEVOS MINISTERIOS,0
C2,NUEVOS MINISTERIOS,CHAMARTIN,0
C2,CHAMARTIN,RECOLETOS,1
C2,RECOLETOS,ATOCHA,1
C2,ATOCHA,ASAMBLEA DE MADRID-ENTREVIAS,1
C2,ASAMBLEA DE MADRID-ENTREVIAS,POZO EL,1
C2,POZO EL,VALLECAS,1
C2,VALLECAS,SANTA EUGENIA,1
C2,SANTA EUGENIA,VICALVARO,1
C2,VICALVARO,COSLADA,1
C2,COSLADA,SAN FERNANDO,1
C2,SAN FERNANDO,TORREJON DE ARDOZ,1
C2,TORREJON DE ARDOZ,SOTO DEL HENARES,1
C2,SOTO DEL HENARES,GARENA LA,1
C2,GARENA LA,ALCALÁ DE HENARES,1
C2,ALCALÁ DE HENARES,ALCALÁ DE HENARES UNIVERSIDAD,1
C2,ALCALÁ DE HENARES UNIVERSIDAD,MECO,1
C2,MECO,AZUQUECA,1
C2,AZUQUECA,GUADALAJARA,1
C2,CHAMARTIN,NUEVOS MINISTERIOS,1
C2,NUEVOS MINISTERIOS,RECOLETOS,1
C2,COSLADA,TORREJON DE ARDOZ,1
C2,ALCALÁ DE HENARES,TORREJON DE ARDOZ,0
