STATION_NAME,X,Y
ATOCHA,-3.6892118408395898,40.4066011651398
FUENTE DE LA MORA,-3.66273198940419,40.4847551076476
AEROPUERTO T4,-3.59324027187479,40.4917812474987
VALDEBEBAS,-3.61634057588727,40.4823091642411
CHAMARTIN,-3.68237859937536,40.4721094623497
DELICIAS,-3.6926718217550896,40.400382320912
MENDEZ ALVARO,-3.6779860250306404,40.3953883033481
NUEVOS MINISTERIOS,-3.6922501798623597,40.4466277031815
PIRAMIDES,-3.71124315951466,40.4026028948529
PRINCIPE PIO,-3.7201723106450295,40.4210790188043
RECOLETOS,-3.6907626799938704,40.423420623761295
ASAMBLEA DE MADRID-ENTREVIAS,-3.66791743399165,40.381681158248604
GARENA LA,-3.3930812823770804,40.480446323851105
AZUQUECA,-3.26537808007204,40.5610431126363
SOTO DEL HENARES,-3.44124824645267,40.463542902172996
ALCALÁ DE HENARES,-3.36625200624717,40.489038872521206
COSLADA,-3.56105002582089,40.4237445026866
ALCALÁ DE HENARES UNIVERSIDAD,-3.33532393016683,40.5053487667517
GUADALAJARA,-3.18230377067774,40.6440936102746
MECO,-3.29857120296861,40.534629296321
POZO EL,-3.6561396279574705,40.3759107464157
SAN FERNANDO,-3.5337569967628504,40.4426754342948
SANTA EUGENIA,-3.6089673976787697,40.386997622806604
TORREJON DE ARDOZ,-3.4797310604898,40.454614888402
VALLECAS,-3.6244633059562896,40.3822212818191
VICALVARO,-3.59583931493827,40.40132727162921
CASAR EL,-3.7097475447627097,40.3184768004104
SOL,-3.7030009543679907,40.4168514100817
CIEMPOZUELOS,-3.60993229369721,40.1590780625469
GALAPAGAR-LA NAVATA,-3.98176360815813,40.6001201927881
GETAFE INDUSTRIAL,-3.7075993552501,40.305489829189895
MATAS LAS,-3.8967411356931203,40.5525253841785
PINAR DE LAS ROZAS,-3.8820657658893998,40.5223060941516
PINTO,-3.70364259838166,40.2428012031304
PITIS,-3.72575435236588,40.495115042597604
RAMON Y CAJAL,-3.6946481959126496,40.4882522939954
SAN CRISTOBAL DE LOS ANGELES,-3.6837539734577502,40.342372290069605
SAN CRISTOBAL INDUSTRIAL,-3.69862254904323,40.3319230119497
ARANJUEZ,-3.61821249344168,40.0348477748241
TORRELODONES,-3.95644911190209,40.574513990894
VALDEMORO,-3.66471800184914,40.1960570665724
VILLALBA,-4.00800585940991,40.6263702008332
VILLAVERDE BAJO,-3.6838931087357905,40.3526507971254
CANTOBLANCO UNIVERSIDAD,-3.70025235112853,40.5437936933619
FUENCARRAL,-3.68225218377436,40.5015691134975
GETAFE CENTRO,-3.7338437082439397,40.3101101574552
GETAFE SECTOR 3,-3.73724253672422,40.2882594725019
ALCOBENDAS-S.S. DE LOS REYES,-3.6350924942275094,40.546575591925205
MARGARITAS-UNIVERSIDAD LAS,-3.7272864336254306,40.323052580859
PARLA,-3.7692684670888297,40.240779939933894
UNIVERSIDAD P. COMILLAS,-3.68324540394647,40.5540663923206
VALDELASFUENTES,-3.6542443385913597,40.547450679886204
VILLAVERDE ALTO,-3.71183451015835,40.3412389095586
AGUILAS LAS,-3.7801818832285696,40.3811944339821
HUMANES,-3.82837195835634,40.255660506545404
PARQUE POLVORANCA,-3.78325102527616,40.3125159337883
CUATRO VIENTOS,-3.7913444859579504,40.3777131916194
DOCE DE OCTUBRE,-3.69851928058378,40.378968823860895
EMBAJADORES,-3.7025372643519106,40.405133584937296
FANJUL,-3.7684764339245294,40.3836601949576
FUENLABRADA,-3.79876380807025,40.2826888663979
LAGUNA,-3.74413102406784,40.3991887229175
LEGANES,-3.77138744820868,40.3289921512769
MOSTOLES,-3.86339907310142,40.3285131038066
MOSTOLES EL SOTO,-3.88224085064992,40.3309024566344
ALCORCON,-3.8316340093151497,40.350088208669796
ORCASITAS,-3.7043192311254303,40.3669156270104
PUENTE ALCOCER,-3.7050647920732795,40.350298433469
RETAMAS LAS,-3.84232998157746,40.3419027014314
ALUCHE,-3.7606525397607404,40.385639846032
SAN JOSE DE VALDERAS,-3.81579179255598,40.3565433759808
SERNA LA,-3.7923873322420003,40.2967328627135
ZARZAQUEMADA,-3.74821098376834,40.3408651674076
BARRIAL-C.COM.POZUELO EL,-3.8076474278486403,40.4653831832569
MAJADAHONDA,-3.8452561987825202,40.474285233963705
POZUELO,-3.8000251574227204,40.4472743567471
ROZAS LAS,-3.8680333825642204,40.494242023891395
ARAVACA,-3.78576906207162,40.4483360938325
CERCEDILLA,-4.06580719855992,40.7375733500909
COLLADO MEDIANO,-4.03577699260154,40.692759921718995
MOLINOS LOS,-4.0667220143667295,40.7073509340203
NEGRALES LOS,-4.02180081138074,40.6385815868385
ALPEDRETE,-4.03496961859464,40.658165812941
