ID,LINE,ARRIVAL_TIME,DEPARTURE_TIME,STATION_NAME,NEXT_STATION,IS_START,IS_END,DIRECTION
0,C1,00:01:00,00:01:00,AEROPUERTO T4,VALDEBEBAS,1,0,1
0,C1,00:05:00,00:05:00,VALDEBEBAS,FUENTE DE LA MORA,0,0,1
0,C1,00:12:00,00:12:00,FUENTE DE LA MORA,CHAMARTIN,0,0,1
0,C1,00:19:00,00:19:00,CHAMARTIN,NUEVOS MINISTERIOS,0,0,1
0,C1,00:24:00,00:24:00,NUEVOS MINISTERIOS,RECOLETOS,0,0,1
0,C1,00:28:00,00:28:00,RECOLETOS,ATOCHA,0,0,1
0,C1,00:32:00,00:32:00,ATOCHA,,0,1,1
1,C1,05:15:00,05:15:00,ATOCHA,RECOLETOS,1,0,0
1,C1,05:18:00,05:18:00,RECOLETOS,NUEVOS MINISTERIOS,0,0,0
1,C1,05:22:00,05:22:00,NUEVOS MINISTERIOS,CHAMARTIN,0,0,0
1,C1,05:29:00,05:29:00,CHAMARTIN,FUENTE DE LA MORA,0,0,0
1,C1,05:35:00,05:35:00,FUENTE DE LA MORA,VALDEBEBAS,0,0,0
1,C1,05:41:00,05:41:00,VALDEBEBAS,AEROPUERTO T4,0,0,0
1,C1,05:44:00,05:44:00,AEROPUERTO T4,,0,1,0
2,C1,05:44:00,05:44:00,PRINCIPE PIO,PIRAMIDES,1,0,0
2,C1,05:47:00,05:47:00,PIRAMIDES,DELICIAS,0,0,0
2,C1,05:49:00,05:49:00,DELICIAS,MENDEZ ALVARO,0,0,0
2,C1,05:51:00,05:51:00,MENDEZ ALVARO,ATOCHA,0,0,0
2,C1,05:56:00,05:56:00,ATOCHA,RECOLETOS,0,0,0
2,C1,05:59:00,05:59:00,RECOLETOS,NUEVOS MINISTERIOS,0,0,0
2,C1,06:03:00,06:03:00,NUEVOS MINISTERIOS,CHAMARTIN,0,0,0
2,C1,06:10:00,06:10:00,CHAMARTIN,FUENTE DE LA MORA,0,0,0
2,C1,06:16:00,06:16:00,FUENTE DE LA MORA,VALDEBEBAS,0,0,0
2,C1,06:22:00,06:22:00,VALDEBEBAS,AEROPUERTO T4,0,0,0
2,C1,06:25:00,06:25:00,AEROPUERTO T4,,0,1,0
3,C1,06:02:00,06:02:00,PRINCIPE PIO,PIRAMIDES,1,0,0
3,C1,06:05:00,06:05:00,PIRAMIDES,DELICIAS,0,0,0
3,C1,06:07:00,06:07:00,DELICIAS,MENDEZ ALVARO,0,0,0
3,C1,06:09:00,06:09:00,MENDEZ ALVARO,ATOCHA,0,0,0
3,C1,06:15:00,06:15:00,ATOCHA,RECOLETOS,0,0,0
3,C1,06:18:00,06:18:00,RECOLETOS,NUEVOS MINISTERIOS,0,0,0
3,C1,06:22:00,06:22:00,NUEVOS MINISTERIOS,FUENTE DE LA MORA,0,0,0
3,C1,06:35:00,06:35:00,FUENTE DE LA MORA,VALDEBEBAS,0,0,0
3,C1,06:41:00,06:41:00,VALDEBEBAS,AEROPUERTO T4,0,0,0
3,C1,06:44:00,06:44:00,AEROPUERTO T4,,0,1,0
4,C1,06:02:00,06:02:00,AEROPUERTO T4,VALDEBEBAS,1,0,1
4,C1,06:06:00,06:06:00,VALDEBEBAS,FUENTE DE LA MORA,0,0,1
4,C1,06:13:00,06:13:00,FUENTE DE LA MORA,CHAMARTIN,0,0,1
4,C1,06:20:00,06:20:00,CHAMARTIN,NUEVOS MINISTERIOS,0,0,1
