trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
5_I11-5_I11_00:01:00_2_40_5__C1___,23:01:00,23:01:00,par_5_142,0,,,,
5_I11-5_I11_00:01:00_2_40_5__C1___,23:05:00,23:05:00,par_5_144,1,,,,
5_I11-5_I11_00:01:00_2_40_5__C1___,23:12:00,23:12:00,par_5_133,2,,,,
5_I11-5_I11_00:01:00_2_40_5__C1___,23:19:00,23:19:00,par_5_18,3,,,,
5_I11-5_I11_00:01:00_2_40_5__C1___,23:24:00,23:24:00,par_5_51,4,,,,
5_I11-5_I11_00:01:00_2_40_5__C1___,23:28:00,23:28:00,par_5_65,5,,,,
5_I11-5_I11_00:01:00_2_40_5__C1___,23:32:00,23:32:00,par_5_11,6,,,,
5_I11-5_I11_05:15:00_1_1_5__C1___,04:15:00,04:15:00,par_5_11,0,,,,
5_I11-5_I11_05:15:00_1_1_5__C1___,04:18:00,04:18:00,par_5_65,1,,,,
5_I11-5_I11_05:15:00_1_1_5__C1___,04:22:00,04:22:00,par_5_51,2,,,,
5_I11-5_I11_05:15:00_1_1_5__C1___,04:29:00,04:29:00,par_5_18,3,,,,
5_I11-5_I11_05:15:00_1_1_5__C1___,04:35:00,04:35:00,par_5_133,4,,,,
5_I11-5_I11_05:15:00_1_1_5__C1___,04:41:00,04:41:00,par_5_144,5,,,,
5_I11-5_I11_05:15:00_1_1_5__C1___,04:44:00,04:44:00,par_5_142,6,,,,
5_I11-5_I11_05:44:00_1_2_5__C1___,04:44:01,04:44:01,par_5_61,0,,,,
5_I11-5_I11_05:44:00_1_2_5__C1___,04:47:01,04:47:01,par_5_57,1,,,,
5_I11-5_I11_05:44:00_1_2_5__C1___,04:49:01,04:49:01,par_5_25,2,,,,
5_I11-5_I11_05:44:00_1_2_5__C1___,04:51:01,04:51:01,par_5_46,3,,,,
5_I11-5_I11_05:44:00_1_2_5__C1___,04:56:01,04:56:01,par_5_11,4,,,,
5_I11-5_I11_05:44:00_1_2_5__C1___,04:59:01,04:59:01,par_5_65,5,,,,
5_I11-5_I11_05:44:00_1_2_5__C1___,05:03:01,05:03:01,par_5_51,6,,,,
5_I11-5_I11_05:44:00_1_2_5__C1___,05:10:01,05:10:01,par_5_18,7,,,,
5_I11-5_I11_05:44:00_1_2_5__C1___,05:16:01,05:16:01,par_5_133,8,,,,
5_I11-5_I11_05:44:00_1_2_5__C1___,05:22:01,05:22:01,par_5_144,9,,,,
5_I11-5_I11_05:44:00_1_2_5__C1___,05:25:01,05:25:01,par_5_142,10,,,,
5_I11-5_I11_06:02:00_1_3_5__C1___,05:02:00,05:02:00,par_5_61,0,,,,
5_I11-5_I11_06:02:00_1_3_5__C1___,05:05:00,05:05:00,par_5_57,1,,,,
5_I11-5_I11_06:02:00_1_3_5__C1___,05:07:00,05:07:00,par_5_25,2,,,,
5_I11-5_I11_06:02:00_1_3_5__C1___,05:09:00,05:09:00,par_5_46,3,,,,
5_I11-5_I11_06:02:00_1_3_5__C1___,05:15:00,05:15:00,par_5_11,4,,,,
5_I11-5_I11_06:02:00_1_3_5__C1___,05:18:00,05:18:00,par_5_65,5,,,,
5_I11-5_I11_06:02:00_1_3_5__C1___,05:22:00,05:22:00,par_5_51,6,,,,
5_I11-5_I11_06:02:00_1_3_5__C1___,05:35:00,05:35:00,par_5_133,7,,,,
5_I11-5_I11_06:02:00_1_3_5__C1___,05:41:00,05:41:00,par_5_144,8,,,,
5_I11-5_I11_06:02:00_1_3_5__C1___,05:44:00,05:44:00,par_5_142,9,,,,
5_I11-5_I11_06:02:00_2_4_5__C1___,05:02:00,05:02:00,par_5_142,0,,,,
5_I11-5_I11_06:02:00_2_4_5__C1___,05:06:00,05:06:00,par_5_144,1,,,,
5_I11-5_I11_06:02:00_2_4_5__C1___,05:13:00,05:13:00,par_5_133,2,,,,
5_I11-5_I11_06:02:00_2_4_5__C1___,05:20:00,05:20:00,par_5_18,3,,,,
5_I11-5_I11_06:02:00_2_4_5__C1___,05:25:00,05:25:00,par_5_51,4,,,,
5_I11-5_I11_06:02:00_2_4_5__C1___,05:29:00,05:29:00,par_5_65,5,,,,
5_I11-5_I11_06:02:00_2_4_5__C1___,05:34:00,05:34:00,par_5_11,6,,,,
5_I11-5_I11_06:02:00_2_4_5__C1___,05:37:00,05:37:00,par_5_46,7,,,,
5_I11-5_I11_06:02:00_2_4_5__C1___,05:39:00,05:39:00,par_5_25,8,,,,
5_I11-5_I11_06:02:00_2_4_5__C1___,05:42:00,05:42:00,par_5_57,9,,,,
5_I11-5_I11_06:02:00_2_4_5__C1___,05:45:00,05:45:00,par_5_61,10,,,,
5_I11-5_I11_06:32:00_2_5_5__C1___,05:32:00,05:32:00,par_5_142,0,,,,
5_I11-5_I11_06:32:00_2_5_5__C1___,05:36:00,05:36:00,par_5_144,1,,,,
5_I11-5_I11_06:32:00_2_5_5__C1___,05:43:00,05:43:00,par_5_133,2,,,,
5_I11-5_I11_06:32:00_2_5_5__C1___,05:50:00,05:50:00,par_5_18,3,,,,
5_I11-5_I11_06:32:00_2_5_5__C1___,05:55:00,05:55:00,par_5_51,4,,,,
5_I11-5_I11_06:32:00_2_5_5__C1___,05:59:00,05:59:00,par_5_65,5,,,,
5_I11-5_I11_06:32:00_2_5_5__C1___,06:04:00,06:04:00,par_5_11,6,,,,
5_I11-5_I11_06:32:00_2_5_5__C1___,06:07:00,06:07:00,par_5_46,7,,,,
5_I11-5_I11_06:32:00_2_5_5__C1___,06:09:00,06:09:00,par_5_25,8,,,,
5_I11-5_I11_06:32:00_2_5_5__C1___,06:12:00,06:12:00,par_5_57,9,,,,
5_I11-5_I11_06:32:00_2_5_5__C1___,06:15:00,06:15:00,par_5_61,10,,,,
5_I11-5_I11_07:02:00_2_6_5__C1___,06:02:00,06:02:00,par_5_142,0,,,,
5_I11-5_I11_07:02:00_2_6_5__C1___,06:06:00,06:06:00,par_5_144,1,,,,
5_I11-5_I11_07:02:00_2_6_5__C1___,06:13:00,06:13:00,par_5_133,2,,,,
5_I11-5_I11_07:02:00_2_6_5__C1___,06:20:00,06:20:00,par_5_18,3,,,,
5_I11-5_I11_07:02:00_2_6_5__C1___,06:25:00,06:25:00,par_5_51,4,,,,
5_I11-5_I11_07:02:00_2_6_5__C1___,06:29:00,06:29:00,par_5_65,5,,,,
5_I11-5_I11_07:02:00_2_6_5__C1___,06:34:00,06:34:00,par_5_11,6,,,,
5_I11-5_I11_07:02:00_2_6_5__C1___,06:37:00,06:37:00,par_5_46,7,,,,
5_I11-5_I11_07:02:00_2_6_5__C1___,06:39:00,06:39:00,par_5_25,8,,,,
5_I11-5_I11_07:02:00_2_6_5__C1___,06:42:00,06:42:00,par_5_57,9,,,,
5_I11-5_I11_07:02:00_2_6_5__C1___,06:45:00,06:45:00,par_5_61,10,,,,
5_I11-5_I11_07:32:00_2_7_5__C1___,06:32:00,06:32:00,par_5_142,0,,,,
5_I11-5_I11_07:32:00_2_7_5__C1___,06:36:00,06:36:00,par_5_144,1,,,,
5_I11-5_I11_07:32:00_2_7_5__C1___,06:43:00,06:43:00,par_5_133,2,,,,
5_I11-5_I11_07:32:00_2_7_5__C1___,06:50:00,06:50:00,par_5_18,3,,,,
5_I11-5_I11_07:32:00_2_7_5__C1___,06:55:00,06:55:00,par_5_51,4,,,,
5_I11-5_I11_07:32:00_2_7_5__C1___,06:59:00,06:59:00,par_5_65,5,,,,
5_I11-5_I11_07:32:00_2_7_5__C1___,07:04:00,07:04:00,par_5_11,6,,,,
5_I11-5_I11_07:32:00_2_7_5__C1___,07:07:00,07:07:00,par_5_46,7,,,,
5_I11-5_I11_07:32:00_2_7_5__C1___,07:09:00,07:09:00,par_5_25,8,,,,
5_I11-5_I11_07:32:00_2_7_5__C1___,07:12:00,07:12:00,par_5_57,9,,,,
5_I11-5_I11_07:32:00_2_7_5__C1___,07:15:00,07:15:00,par_5_61,10,,,,
5_I11-5_I11_08:02:00_2_8_5__C1___,07:02:00,07:02:00,par_5_142,0,,,,
