route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
5__C1___,5_I11,5_I11-5_I11_00:01:00_2_40_5__C1___,ATOCHA,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_05:15:00_1_1_5__C1___,AEROPUERTO T4,P.Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_05:44:00_1_2_5__C1___,AEROPUERTO T4,P.Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_06:02:00_1_3_5__C1___,AEROPUERTO T4,P.Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_06:02:00_2_4_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_06:32:00_2_5_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_07:02:00_2_6_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_07:32:00_2_7_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_08:02:00_2_8_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_08:31:00_2_9_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_09:00:00_2_10_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_09:31:00_2_11_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_10:01:00_2_12_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_10:32:00_2_13_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_11:01:00_2_14_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_11:31:00_2_15_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_12:01:00_2_16_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_12:31:00_2_17_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_13:02:00_2_18_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_13:31:00_2_19_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_14:00:00_2_20_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_14:33:00_2_21_5__C1___,PRINCIPE PIO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
